CODICE,TIPO,DESTINAZIONE,SERVIZIO,CONTATORE_DESTINAZIONE,DESCRIZIONE,COSTO,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7
ATHVO01,A,THAILANDIA,VOLO,01,Volo BGK - CHM,45,,,,,,,
ATHVO02,A,THAILANDIA,VOLO,02,Volo BGK - HKT,55,,,,,,,
ATHVO03,A,THAILANDIA,VOLO,03,Volo BGK - USM,100,,,,,,,
ATHVO04,A,THAILANDIA,VOLO,04,Volo CHM - BGK,50,,,,,,,
ATHVO05,A,THAILANDIA,VOLO,05,Volo CHM - HKT,150,,,,,,,
ATHVO06,A,THAILANDIA,VOLO,06,Volo CHM - USM,250,,,,,,,
ATHVO07,A,THAILANDIA,VOLO,07,Volo HKT - BGK,55,,,,,,,
ATHVO08,A,THAILANDIA,VOLO,08,Volo HKT - CHM,70,,,,,,,
ATHVO09,A,THAILANDIA,VOLO,09,Volo HKT - USM,100,,,,,,,
ATHVO10,A,THAILANDIA,VOLO,10,Volo USM - BGK,100,,,,,,,
ATHVO11,A,THAILANDIA,VOLO,11,Volo USM - HKT,105,,,,,,,
ATHAS12,A,THAILANDIA,ASSICURAZIONE,12,Thailandia Medica Base,40,,,,,,,
ATHDO13,A,THAILANDIA,DOCUMENTI,13,Visti e altri documenti,,,,,,,,
