CODICE,TIPO,DESTINAZIONE,ZONA,CONTATORE_AREA,PLUS,LIVELLO_PLUS,SUPPLEMENTO,COSTO_SUPPLEMENTO,CODICE_COLLEGATO,PREZZO_SERVIZIO_BASE,PREZZO_FINALE_SERVIZIO,MARGINE_FINALE,EXTRA_1,EXTRA_2
ETHBA01,E,THAILANDIA,BANGKOK,01,Biglietti Templi - Tour dei Templi,esp,26,20,XTHBA08,20,46,27%,,
ETHBA02,E,THAILANDIA,BANGKOK,02,Prelievo in hotel biglietti e Guida in Italiano - Tour dei Templi,,72,55,XTHBA08,20,92,29%,,
ETHBA03,E,THAILANDIA,BANGKOK,03,Tour Privato (min2) - Tour dei Templi,esp,108,83,XTHBA08,20,128,29%,,
ETHBA04,E,THAILANDIA,BANGKOK,04,Prelievo in hotel - Damnoen Saduak e Maeklong,,13,10,XTHBA02,41,54,25%,,
ETHBA05,E,THAILANDIA,BANGKOK,05,Prelievo in hotel  e Guida in Italiano - Damnoen Saduak e Maeklong,,52,40,XTHBA02,41,93,27%,,
ETHBA06,E,THAILANDIA,BANGKOK,06,Tour Privato (min2) Damnoen Saduak e Maeklong,esp,113,87,XTHBA02,41,154,28%,,
ETHBA07,E,THAILANDIA,BANGKOK,07,Prelievo in hotel - Antico Siam,,13,10,XTHBA03,60,73,24%,,
ETHBA08,E,THAILANDIA,BANGKOK,08,Prelievo in hotel  e Guida in Italiano - Antico Siam,,91,70,XTHBA03,60,151,27%,,
ETHBA09,E,THAILANDIA,BANGKOK,09,Tour Privato (min2) Antico Siam,esp,98,75,XTHBA03,60,158,27%,,
ETHBA10,E,THAILANDIA,BANGKOK,10,Tour Privato (min2)  Ferrovia della morte,esp,107,82,XTHBA04,84,191,27%,,
ETHBA11,E,THAILANDIA,BANGKOK,11,Prelievo in hotel - Santuario degli Elefanti,,13,10,XTHBA05,62,75,25%,,
ETHBA12,E,THAILANDIA,BANGKOK,12,Tour Privato (min2) Santuario degli Elefanti,esp,91,70,XTHBA05,62,153,28%,,
ETHBA13,E,THAILANDIA,BANGKOK,13,Prelievo in Hotel e Cena - Tuk Tuk Tour,,49,38,XTHBA09,37,86,27%,,
ETHBA14,E,THAILANDIA,BANGKOK,14,Transfert APT HTL,htl,26,20,ZTHBA01,,26,#N/D,,
ETHBA15,E,THAILANDIA,BANGKOK,15,Extra Hotel,pacc,,,HTHBAME,,0,,,
ETHBA16,E,THAILANDIA,BANGKOK,16,Assicurazione Plus,iti,,,ZTHBA01,,0,,,
ETHCH01,E,THAILANDIA,CHIANG MAI,01,Prelievo in hotel  e Guida in Italiano - Tour dei Templi di Chiang Mai,,53,41,XTHCH01,23,76,27%,,
ETHCH02,E,THAILANDIA,CHIANG MAI,02,Tour Privato (min2) - Tour dei Templi di Chiang Mai,,46,35,XTHCH01,23,69,27%,,
ETHCH03,E,THAILANDIA,CHIANG MAI,03,Prelievo in hotel - Tour dei Templi di Chiang Rai,,23,18,XTHCH02,26,49,25%,,
ETHCH04,E,THAILANDIA,CHIANG MAI,04,Punto di incontro  e Guida in Italiano - Tour dei Templi di Chiang Rai,,147,113,XTHCH02,26,173,29%,,
ETHCH05,E,THAILANDIA,CHIANG MAI,05,Tour Privato (min2) - Tour dei Templi di Chiang Rai,,140,108,XTHCH02,26,166,28%,,
ETHCH06,E,THAILANDIA,CHIANG MAI,06,Prelievo in hotel - Long Neck e Templi,,13,10,XTHCH03,58,71,24%,,
ETHPH01,E,THAILANDIA,PHUKET,01,,,,0,,,,,,
ETHKO01,E,THAILANDIA,KOH SAMUI,01,,,,0,,,,,,
