CODICE,TIPO,DESTINAZIONE,ZONA,CONTATORE_ZONA,ZONA_1,ZONA_2,ZONA_3,ZONA_4,MIN_NOTTI,COSTI_ACC_1,COSTI_ACC_2,COSTI_ACC_3,COSTI_ACC_4,COSTI_ACC_5,COSTI_ACC_6,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7
ITHBA01,I,THAILANDIA,BANGKOK,1,ZTHBA01,,,2,,,,,,,ETHBA01,ETHBA03,ETRAN01,EVOLO03,EASSIC01,,
ITHCH01,I,THAILANDIA,CHIANG MAI,1,ZTHCH04,,,2,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
ITHPH01,I,THAILANDIA,PHUKET,1,ZTHPH02,,,3,,,,,,,ETHBA01,EVOLO03,ETRAN01,EASSIC01,,,
ITHKO01,I,THAILANDIA,KOH SAMUI,1,ZTHKO05,,,3,,,,,,,ETHBA01,EVOLO03,ETRAN01,EASSIC01,,,
ITHBA02,I,THAILANDIA,BANGKOK,2,ZTHBA01,ZTHCH04,,6,ATHCH01,,,,,,ETHBA01,ETHBA03,EVOLO03,ETRAN01,EASSIC01,,
ITHBA03,I,THAILANDIA,BANGKOK,3,ZTHBA01,ZTHPH02,,7,,,,,,,ETHBA01,ETHBA02,EVOLO03,ETRAN01,ETRAN02,EASSIC01,
ITHBA04,I,THAILANDIA,BANGKOK,4,ZTHBA01,ZTHKO05,,6,,,,,,,ETHBA01,ETHBA04,EVOLO03,EVOLO04,ETRAN01,EASSIC01,
ITHBA05,I,THAILANDIA,BANGKOK,5,ZTHBA01,ZTHCH04,ZTHPH02,10,ATHCH01,,,,,,ETHBA01,ETHBA02,EVOLO01,EVOLO03,ETRAN01,ETRAN02,EASSIC01
ITHBA06,I,THAILANDIA,BANGKOK,6,ZTHBA01,ZTHCH04,ZTHKO05,10,ATHCH01,,,,,,ETHBA01,ETHBA03,ETHBA05,EVOLO01,EVOLO03,ETRAN01,EASSIC01
ITHBA07,I,THAILANDIA,BANGKOK,7,ZTHBA01,ZTHCH04,ZTHPH02,ZTHKO05,15,ATHCH01,,,,,,ETHBA01,ETHBA02,ETHBA05,EVOLO01,EVOLO03,ETRAN02,EASSIC01
IGRAT01,I,GRECIA,ATENE,1,ZGRAT01,,,2,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
IGRSA01,I,GRECIA,SANTORINI,1,ZGRSA02,,,3,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
IGRCR01,I,GRECIA,CRETA,1,ZGRCR03,,,4,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
IGRAT02,I,GRECIA,ATENE,2,ZGRAT01,ZGRSA02,,6,,,,,,,EVOLO03,EVOLO04,ETRAN01,EASSIC01,,,
IGRAT03,I,GRECIA,ATENE,3,ZGRAT01,ZGRCR03,,7,,,,,,,EVOLO03,ETRAN01,ETRAN03,EASSIC01,,,
IGRAT04,I,GRECIA,ATENE,4,ZGRAT01,ZGRSA02,ZGRCR03,10,,,,,,,EVOLO01,EVOLO03,ETRAN01,ETRAN02,EASSIC01,,
ICUHA01,I,CUBA,L'AVANA,1,ZCUHA01,,,3,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
ICUVI01,I,CUBA,VIÑALES,1,ZCUVI02,,,2,,,,,,,EVOLO03,ETRAN01,EASSIC01,,,
ICUHA02,I,CUBA,L'AVANA,2,ZCUHA01,ZCUVI02,,6,,,,,,,EVOLO03,EVOLO04,ETRAN01,ETRAN03,EASSIC01,,
