CODICE,TIPO,DESTINAZIONE,ZONA,CONTATORE_AREA,ZONA_COLLEGATA,DIFFICOLTA,MIN_NOTTI,PRX_PAX,DAY2_ESPERIENZA_STD,DAY3_ESPERIENZA_STD,DAY4_ESPERIENZA_STD,DAY5_ESPERIENZA_STD,DAY6_ESPERIENZA_STD,DAY7_ESPERIENZA_STD,DAY8_ESPERIENZA_STD,DAY9_ESPERIENZA_STD,DAY10_ESPERIENZA_STD
PTHBA01,P,THAILANDIA,BANGKOK,01,ZTHBA01,1,3,61,XTHBA08,XTHBA02,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA02,P,THAILANDIA,BANGKOK,02,ZTHBA01,2,3,80,XTHBA08,XTHBA03,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA03,P,THAILANDIA,BANGKOK,03,ZTHBA01,2,3,103,XTHBA02,XTHBA05,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA04,P,THAILANDIA,BANGKOK,04,ZTHBA01,1,4,185,XTHBA03,XTHBA02,XTHBA04,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA05,P,THAILANDIA,BANGKOK,05,ZTHBA01,2,4,142,XTHBA08,XTHBA03,XTHBA05,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA06,P,THAILANDIA,BANGKOK,06,ZTHBA01,1,4,224,XTHBA01,XTHBA11,XTHBA10,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA07,P,THAILANDIA,BANGKOK,07,ZTHBA01,TBD,5,247,XTHBA02,XTHBA03,XTHBA04,XTHBA05,TBD,TBD,TBD,TBD,TBD
PTHBA08,P,THAILANDIA,BANGKOK,08,ZTHBA01,TBD,5,100,XTHBA08,XTHBA09,XTHBA12,TBD,TBD,TBD,TBD,TBD,TBD
PTHBA09,P,THAILANDIA,BANGKOK,09,ZTHBA01,TBD,5,200,XTHBA08,XTHBA02,XTHBA06,XTHBA03,TBD,TBD,TBD,TBD,TBD
PTHCH01,P,THAILANDIA,CHIANG MAI,01,ZTHCH04,1,3,26,XTHCH08,XTHCH02,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHCH02,P,THAILANDIA,CHIANG MAI,02,ZTHCH04,2,3,84,XTHCH02,XTHCH03,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHCH03,P,THAILANDIA,CHIANG MAI,03,ZTHCH04,1,2,84,XTHCH03,XTHCH02,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHPH01,P,THAILANDIA,PHUKET,01,ZTHPH02,1,3,0,XTHPH01,XTHPH02,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHPH02,P,THAILANDIA,PHUKET,02,ZTHPH02,1,3,0,XTHPH04,XTHPH05,XTHPH01,TBD,TBD,TBD,TBD,TBD,TBD
PTHPH03,P,THAILANDIA,PHUKET,03,ZTHPH02,1,3,0,XTHPH02,XTHPH03,XTHPH01,TBD,TBD,TBD,TBD,TBD,TBD
PTHPH04,P,THAILANDIA,PHUKET,04,ZTHPH02,1,2,0,XTHPH04,XTHPH01,TBD,TBD,TBD,TBD,TBD,TBD,TBD
PTHKO01,P,THAILANDIA,KOH SAMUI,01,ZTHKO05,1,3,0,XTHKO01,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
