CODICE;TIPO;DESTINAZIONE;ZONA;ORDINE;DESCRIZIONE;COORDINATE_LAT;COORDINATE_LNG;GIORNI_CONSIGLIATI;TIPO_AREA;CARATTERISTICHE;CITTA_PRINCIPALE;AEROPORTO_PIU_VICINO;DISTANZA_CAPITALE_KM;PERIODO_MIGLIORE;IMMAGINE_URL;DESTINAZIONE_COLLEGATA;PRIORITA;VOLO_1;VOLO_2;HOTEL_1;HOTEL_2;HOTEL_3;COSTI_ACC_1;COSTI_ACC_2;COSTI_ACC_3;EXTRA_1;EXTRA_2;EXTRA_3
ZTHBA01;Z;THAILANDIA;BANGKOK;1;Metropoli vibrante e caotica con templi dorati, mercati galleggianti, street food leggendario e vita notturna. Cuore pulsante della Thailandia moderna.;13.7563;100.5018;3;città;Templi,Shopping,Street food,Vita notturna,Mercati,Grattacieli;Bangkok;BKK;0;Novembre-Febbraio;https://images.unsplash.com/photo-1508009603885-50cf7c579365;DTH01;01;VTHBAMB;VTHBAFB;HTHBALO;HTHBAME;HTHBAHI;;;;ETHBA14;ETHBA16;
ZTHCH04;Z;THAILANDIA;CHIANG MAI;2;Città culturale del nord circondata da montagne e foreste. Templi antichi, santuari di elefanti, trekking e atmosfera rilassata.;18.7883;98.9853;3;montagna;Templi,Trekking,Elefanti,Natura,Mercati notturni,Cooking class;Chiang Mai;CNX;685;Novembre-Febbraio;https://images.unsplash.com/photo-1598970434795-0c54fe7c0648;DTH01;02;;;HTHCHLO;HTHCHME;HTHCHHI;;;;;;
ZTHPH02;Z;THAILANDIA;PHUKET;3;Isole paradisiache con spiagge di sabbia bianca, mare cristallino e vita notturna. Base perfetta per esplorare Phi Phi e le isole vicine.;7.8804;98.3923;4;mare;Spiagge,Diving,Snorkeling,Isole,Beach club,Vita notturna;Phuket;HKT;860;Dicembre-Marzo;https://images.unsplash.com/photo-1589394815804-964ed0be2eb5;DTH01;01;;;HTHPHLO;HTHPHME;HTHPHHI;;;;;;
ZTHKO05;Z;THAILANDIA;KOH SAMUI;4;Isola tropicale nel Golfo di Thailandia con spiagge tranquille, resort di lusso e atmosfera rilassata. Meno affollata di Phuket.;9.5357;100.0608;3;mare;Spiagge,Relax,Spa,Resort,Cascate,Snorkeling;Koh Samui;USM;750;Gennaio-Agosto;https://images.unsplash.com/photo-1583163883648-26b1d43c48c7;DTH01;02;;;HTHKOLO;HTHKOME;HTHKOHI;;;;;;
ZTHPA05;Z;THAILANDIA;PATTHAYA;5;Città balneare vivace con spiagge affollate e vita notturna intensa. Mix di relax mare e divertimento.;12.9236;100.8825;2;mare;Spiagge,Vita notturna,Water sports,Shopping,Beach clubs,Escursioni isole;Patthaya;BKK;150;Novembre-Febbraio;https://images.unsplash.com/photo-1552465011-b4e21bf6e79a;DTH01;02;;;;;;;;;;;
ZVIHA01;Z;VIETNAM;HANOI;1;Capitale millenaria con lago Hoan Kiem, Quartiere Vecchio caotico e street food autentico. Mix perfetto di cultura francese e vietnamita.;21.0285;105.8542;3;città;Templi,Laghi,Quartiere Vecchio,Street food,Musei,Cultura;Hanoi;HAN;0;Novembre-Aprile;https://images.unsplash.com/photo-1509205477838-a534e43a849f;DVI02;01;VVIHAFB;VVIHAMB;;;;;;;;;
ZVIHL02;Z;VIETNAM;HA LONG BAY;2;Baia patrimonio UNESCO con migliaia di isole calcaree, grotte spettacolari e villaggi galleggianti. Paesaggio da sogno.;20.9101;107.1839;2;mare;Isole,Grotte,Crociere,Kayak,Villaggi galleggianti,Unesco;Ha Long;HPH;165;Ottobre-Aprile;https://images.unsplash.com/photo-1528127269322-539801943592;DVI02;02;;;;;;;;;;;
ZVIHO03;Z;VIETNAM;HOI AN;3;Antica città portuale con lanterne colorate, sartorie artigianali e atmosfera romantica. Centro storico UNESCO perfettamente conservato.;15.8801;108.3380;3;città-mare;Città antica,Lanterne,Sartorie,Spiagge,Cucina,Unesco;Hoi An;DAD;800;Febbraio-Maggio;https://images.unsplash.com/photo-1583417319070-4a69db38a482;DVI02;01;;;;;;;;;;;
ZVISG04;Z;VIETNAM;HO CHI MINH;4;Ex Saigon, metropoli vibrante e moderna con mercati caotici, architettura coloniale e vita notturna energica. Cuore economico del Vietnam.;10.8231;106.6297;2;città;Mercati,Architettura coloniale,Vita notturna,Shopping,Cucina,Storia;Ho Chi Minh;SGN;1760;Dicembre-Aprile;https://images.unsplash.com/photo-1583417667550-27d2c6943a0f;DVI02;02;;;;;;;;;;;
ZGRAT01;Z;GRECIA;ATENE;1;Capitale storica con l'Acropoli, Partenone e musei archeologici. Mix perfetto tra storia antica e vita urbana moderna.;37.9838;23.7275;2;città;Storia,Musei,Archeologia,Vita urbana,Taverne,Quartieri storici;Atene;ATH;0;Aprile-Giugno / Settembre-Ottobre;https://images.unsplash.com/photo-1555993539-1732b0258235;DGR01;01;;;;;;;;;;;
