CODICE,TIPO,DESTINAZIONE,ZONA,COORDINATE_LAT,COORDINATE_LNG,GIORNI_CONSIGLIATI,DISTANZA_CAPITALE_KM,DESTINAZIONE_COLLEGATA,PRIORITA,VOLO_1,VOLO_2,VOLO_3,VOLO_4,VOLO_5,VOLO_6,VOLO_7,VOLO_8,HOTEL_1,HOTEL_2,HOTEL_3,COSTI_ACC_1,COSTI_ACC_2,COSTI_ACC_3,COSTI_ACC_4,COSTI_ACC_5,COSTI_ACC_6,COSTI_ACC_7,COSTI_ACC_8,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7,EXTRA_8,EXTRA_9,EXTRA_10,EXTRA_11,EXTRA_12,EXTRA_13,EXTRA_14,EXTRA_15
ZTHBA,Z,THAILANDIA,BANGKOK,13.7563,100.5018,3,0,DTH,01,VTHBAMB,VTHBAFB,nd,nd,nd,nd,nd,nd,HTHBALO,HTHBAME,HTHBAHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZTHCH,Z,THAILANDIA,CHIANG MAI,18.7883,98.9853,3,685,DTH,02,nd,nd,nd,nd,nd,nd,nd,nd,HTHCHLO,HTHCHME,HTHCHHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZTHPH,Z,THAILANDIA,PHUKET,7.8804,98.3923,4,860,DTH,01,nd,nd,nd,nd,nd,nd,nd,nd,HTHPHLO,HTHPHME,HTHPHHI,nd,nd,nd,nd,nd,nd,nd,nd,ETHPH11,ETHPH12,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZTHKO,Z,THAILANDIA,KOH SAMUI,9.5357,100.0608,3,750,DTH,02,nd,nd,nd,nd,nd,nd,nd,nd,HTHKOLO,HTHKOME,HTHKOHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZTHPA,Z,THAILANDIA,PATTHAYA,12.9236,100.8825,2,150,DTH,02,nd,nd,nd,nd,nd,nd,nd,nd,HTHPALO,HTHPAME,HTHPAHI,nd,nd,nd,nd,nd,nd,nd,nd,ETHPA02,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZVIHA,Z,VIETNAM,HANOI,21.0285,105.8542,3,0,DVI,01,VVIHAMH,VVIHAFH,nd,nd,nd,nd,nd,nd,HVIHALO,HVIHAME,HVIHAHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZVIHL,Z,VIETNAM,HA LONG BAY,20.9101,107.1839,2,165,DVI,02,nd,nd,nd,nd,nd,nd,nd,nd,HVIHLLO,HVIHLME,HVIHLHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZVIHN,Z,VIETNAM,HOI AN,15.8801,108.3380,3,800,DVI,02,nd,nd,nd,nd,nd,nd,nd,nd,HVIHNLO,HVIHNME,HVIHNHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZVIHO,Z,VIETNAM,HO CHI MINH,10.8231,106.6297,2,1760,DVI,01,VVIHOMS,VVIHOFS,nd,nd,nd,nd,nd,nd,HVIHOLO,HVIHOME,HVIHOHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZGRAT,Z,GRECIA,ATENE,37.9838,23.7275,2,0,DGR,01,VGRATMA,VGRATFA,nd,nd,nd,nd,nd,nd,HGRATLO,HGRATME,HGRATHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ZGRSA,Z,GRECIA,SANTORINI,36.3932,25.4615,3,280,DGR,01,nd,nd,nd,nd,nd,nd,nd,nd,HGRSALO,HGRSAME,HGRSAHI,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
